x
abind
AER
askpass
backports
base64enc
bayesplot
BH
bit
bit64
bitops
blob
brio
broom
bslib
cachem
callr
car
carData
care
caret
cellranger
checkmate
cli
clipr
clock
colorspace
colourpicker
commonmark
conflicted
corpcor
corrplot
countdown
cowplot
cpp11
crayon
crosstalk
curl
data.table
DBI
dbplyr
demoKde
desc
dfidx
diagram
dials
DiceDesign
diffobj
digest
distributional
doParallel
dplyr
DT
dtplyr
dygraphs
e1071
ellipsis
evaluate
exactRankTests
fansi
faraway
farver
fastmap
fontawesome
forcats
foreach
Formula
fs
furrr
future
future.apply
gargle
generics
ggplot2
ggpubr
ggrepel
ggridges
ggsci
ggsignif
ggsurvfit
ggtext
globals
glue
googledrive
googlesheets4
gower
GPfit
gridExtra
gridtext
gtable
gtools
hardhat
haven
hexbin
highr
hms
htmltools
htmlwidgets
httpuv
httr
ids
igraph
infer
inline
ipred
isoband
iterators
janitor
jpeg
jquerylib
jsonlite
kableExtra
km.ci
KMsurv
knitr
labeling
later
lava
lazyeval
lhs
lifecycle
listenv
lme4
lmtest
loo
lubridate
magrittr
maps
markdown
MASSExtra
MatrixModels
matrixStats
maxstat
memoise
mime
miniUI
minqa
mlbench
mlogit
modeldata
modelenv
ModelMetrics
modelr
munsell
mvtnorm
nloptr
numDeriv
openssl
packrat
palmerpenguins
parallelly
parsnip
patchwork
pbkrtest
peopleanalytics
peopleanalyticsdata
pillar
pkgbuild
pkgconfig
pkgload
plyr
png
polynom
posterior
praise
prettyunits
prismatic
pROC
processx
prodlim
progress
progressr
promises
proxy
ps
pscl
purrr
quantreg
QuickJSR
R6
ragg
randomForest
ranger
RANN
rappdirs
rbibutils
RColorBrewer
Rcpp
RcppEigen
RcppParallel
RCurl
Rdpack
readr
readxl
recipes
rematch
rematch2
renv
repr
reprex
reshape2
rlang
rmarkdown
ROSE
rprojroot
rsample
rsconnect
rstan
rstantools
rstatix
rstudioapi
rvest
sandwich
sass
scales
selectr
sessioninfo
shape
shiny
shinyjs
shinystan
shinythemes
skimr
slider
snakecase
sourcetools
SparseM
SQUAREM
StanHeaders
statmod
stringi
stringr
survival
survminer
survMisc
svglite
sys
systemfonts
tensorA
testthat
textshaping
themis
threejs
tibble
tidymodels
tidyr
tidyselect
tidyverse
timechange
timeDate
tinytex
tune
tzdb
utf8
uuid
vctrs
viridisLite
visreg
vroom
waldo
warp
whisker
withr
workflows
workflowsets
xfun
xml2
xtable
xts
yaml
yardstick
zoo
base
boot
class
cluster
codetools
compiler
datasets
foreign
graphics
grDevices
grid
KernSmooth
lattice
MASS
Matrix
methods
mgcv
nlme
nnet
parallel
rpart
spatial
splines
stats
stats4
survival
tcltk
tools
utils
